CRUDE,INTEREST,FOREIGN,DJIA,GNP,PURCHASE,CONSUMER
10.89999962,7.610000134,31,974.9000244,1718,1.756999969,234.3999939
12,7.420000076,35,894.5999756,1918,1.649000049,263.7999878
12.5,8.409999847,42,820.2000122,2164,1.531999946,308.2999878
17.70000076,9.439998627,54,844.4000244,2418,1.379999995,347.5
28.10000038,11.46000004,83,891.4000244,2732,1.215000033,349.3999939
35.59999847,13.90999985,109,932.9000244,3053,1.09800005,366.6000061
31.79999924,13,125,884.4000244,3166,1.034999967,381.1000061
29,11.10999966,137,1190.300049,3406,1,430.3999939
28.60000038,12.43999958,165,1178.5,3772,0.9610000253,511.7999878
26.79999924,10.61999989,185,1328.199951,4015,0.9279999733,592.4000244
14.60000038,7.679999828,209,1792.800049,4240,0.9129999876,646.0999756
17.89999962,8.380000114,244,2276,4527,0.8799999952,685.5
